Date ,Close ,Delta,Delta Base,Tag
28-Jun-23,4027.35, 43 , 543 ,Nifty PSU Banks
30-Jun-23,520, 92 , 592 ,Nifty Realty
30-Jun-23,20057.7," 1,065 "," 1,565 ",Nifty Financial Services
30-Jun-23,15147.65, 307 , 807 ,Nifty Auto
30-Jun-23,13767.5," 1,313 "," 1,813 ",Nifty Pharma
30-Jun-23,22923.15," 1,366 "," 1,866 ",Nifty Private Bank
30-Jun-23,7535.7, 183 , 683 ,Nifty Oil & Gas
30-Jun-23,6209.1, 506 ," 1,006 ",Nifty Metal
30-Jun-23,1743.8,60, 560 ,Nifty Media
30-Jun-23,29563," 2,549 "," 3,049 ",Nifty IT
30-Jun-23,8936.45," 1,052 "," 1,552 ",Nifty Healthcare
30-Jun-23,52194.75," 5,252 "," 5,752 ",Nifty FMCG
30-Jun-23,24696.5," 1,489 "," 1,989 ",Nifty Energy
30-Jun-23,27130.05," 2,571 "," 3,071 ",Nifty Con Durable
30-Jun-23,44747.35,2111.6," 2,612 ",Nifty Bank
30-Jun-23,4110.2, 126 , 626 ,Nifty PSU Banks
03-Jul-23,523.9, 96 , 596 ,Nifty Realty
03-Jul-23,20253.75," 1,261 "," 1,761 ",Nifty Financial Services
03-Jul-23,15106.85, (41), 459 ,Nifty Auto
03-Jul-23,13614," 1,160 "," 1,660 ",Nifty Pharma
03-Jul-23,23064.6," 1,507 "," 2,007 ",Nifty Private Bank
03-Jul-23,7705.9, 354 , 854 ,Nifty Oil & Gas
03-Jul-23,6275.45, 572 ," 1,072 ",Nifty Metal
03-Jul-23,1752.75,68, 568 ,Nifty Media
03-Jul-23,29424.8," 2,411 "," 2,911 ",Nifty IT
03-Jul-23,8852.5, 968 ," 1,468 ",Nifty Healthcare
03-Jul-23,52741.5," 5,798 "," 6,298 ",Nifty FMCG
03-Jul-23,25020.9," 1,814 "," 2,314 ",Nifty Energy
03-Jul-23,27071.2," 2,512 "," 3,012 ",Nifty Con Durable
03-Jul-23,45158.1,2522.35," 3,022 ",Nifty Bank
03-Jul-23,4258.55, 274 , 774 ,Nifty PSU Banks
04-Jul-23,522.95, 95 , 595 ,Nifty Realty
04-Jul-23,20413.4," 1,420 "," 1,920 ",Nifty Financial Services
04-Jul-23,15035.05, (72), 428 ,Nifty Auto
04-Jul-23,13675.45," 1,221 "," 1,721 ",Nifty Pharma
04-Jul-23,23057.25," 1,500 "," 2,000 ",Nifty Private Bank
04-Jul-23,7653.8, 301 , 801 ,Nifty Oil & Gas
04-Jul-23,6275.2, 572 ," 1,072 ",Nifty Metal
04-Jul-23,1767.15,83, 583 ,Nifty Media
04-Jul-23,29729.85," 2,716 "," 3,216 ",Nifty IT
04-Jul-23,8872.85, 989 ," 1,489 ",Nifty Healthcare
04-Jul-23,52814.8," 5,872 "," 6,372 ",Nifty FMCG
04-Jul-23,24940.2," 1,733 "," 2,233 ",Nifty Energy
04-Jul-23,27090.7," 2,532 "," 3,032 ",Nifty Con Durable
04-Jul-23,45301.45,2665.7," 3,166 ",Nifty Bank
04-Jul-23,4339, 355 , 855 ,Nifty PSU Banks
05-Jul-23,525.9, 98 , 598 ,Nifty Realty
05-Jul-23,20246.2," 1,253 "," 1,753 ",Nifty Financial Services
05-Jul-23,15281.9, 247 , 747 ,Nifty Auto
05-Jul-23,13772," 1,318 "," 1,818 ",Nifty Pharma
05-Jul-23,23037.9," 1,481 "," 1,981 ",Nifty Private Bank
05-Jul-23,7718.2, 366 , 866 ,Nifty Oil & Gas
05-Jul-23,6292.3, 589 ," 1,089 ",Nifty Metal
05-Jul-23,1793.5,109, 609 ,Nifty Media
05-Jul-23,29841.85," 2,828 "," 3,328 ",Nifty IT
05-Jul-23,8939.2," 1,055 "," 1,555 ",Nifty Healthcare
05-Jul-23,53776.2," 6,833 "," 7,333 ",Nifty FMCG
05-Jul-23,25034.8," 1,827 "," 2,327 ",Nifty Energy
05-Jul-23,27186.55," 2,628 "," 3,128 ",Nifty Con Durable
05-Jul-23,45151.8,2516.05," 3,016 ",Nifty Bank
05-Jul-23,4383.6, 399 , 899 ,Nifty PSU Banks
06-Jul-23,537.75, 110 , 610 ,Nifty Realty
06-Jul-23,20270.15," 1,277 "," 1,777 ",Nifty Financial Services
06-Jul-23,15453.7, 172 , 672 ,Nifty Auto
06-Jul-23,13871.6," 1,417 "," 1,917 ",Nifty Pharma
06-Jul-23,23122.05," 1,565 "," 2,065 ",Nifty Private Bank
06-Jul-23,7864, 512 ," 1,012 ",Nifty Oil & Gas
06-Jul-23,6325.35, 622 ," 1,122 ",Nifty Metal
06-Jul-23,1824.2,140, 640 ,Nifty Media
06-Jul-23,29805.2," 2,792 "," 3,292 ",Nifty IT
06-Jul-23,9045.3," 1,161 "," 1,661 ",Nifty Healthcare
06-Jul-23,53765.65," 6,823 "," 7,323 ",Nifty FMCG
06-Jul-23,25575.25," 2,368 "," 2,868 ",Nifty Energy
06-Jul-23,27365.1," 2,806 "," 3,306 ",Nifty Con Durable
06-Jul-23,45339.9,2704.15," 3,204 ",Nifty Bank
06-Jul-23,4415.65, 431 , 931 ,Nifty PSU Banks
07-Jul-23,531.4, 103 , 603 ,Nifty Realty
07-Jul-23,20086.9," 1,094 "," 1,594 ",Nifty Financial Services
07-Jul-23,15498.85, 45 , 545 ,Nifty Auto
07-Jul-23,13769," 1,315 "," 1,815 ",Nifty Pharma
07-Jul-23,22868.5," 1,311 "," 1,811 ",Nifty Private Bank
07-Jul-23,7857, 505 ," 1,005 ",Nifty Oil & Gas
07-Jul-23,6279.25, 576 ," 1,076 ",Nifty Metal
07-Jul-23,1895.55,211, 711 ,Nifty Media
07-Jul-23,29560.45," 2,547 "," 3,047 ",Nifty IT
07-Jul-23,8965.5," 1,081 "," 1,581 ",Nifty Healthcare
07-Jul-23,52942.45," 5,999 "," 6,499 ",Nifty FMCG
07-Jul-23,25331.4," 2,124 "," 2,624 ",Nifty Energy
07-Jul-23,27314.25," 2,755 "," 3,255 ",Nifty Con Durable
07-Jul-23,44925,2289.25," 2,789 ",Nifty Bank
07-Jul-23,4459.1, 475 , 975 ,Nifty PSU Banks
10-Jul-23,526.9, 99 , 599 ,Nifty Realty
10-Jul-23,20057.3," 1,064 "," 1,564 ",Nifty Financial Services
10-Jul-23,15403.2, (96), 404 ,Nifty Auto
10-Jul-23,13751.8," 1,297 "," 1,797 ",Nifty Pharma
10-Jul-23,22842.2," 1,285 "," 1,785 ",Nifty Private Bank
10-Jul-23,7903.25, 551 ," 1,051 ",Nifty Oil & Gas
10-Jul-23,6385.1, 682 ," 1,182 ",Nifty Metal
10-Jul-23,1877.55,193, 693 ,Nifty Media
10-Jul-23,29194.7," 2,181 "," 2,681 ",Nifty IT
